ICLN; SUP; SUP_NUM; MAN; MAN_NUM; PRICE; CUR; MOQ
FB_1k_0A25_0402_A001; TME; BLM15HD102SN1D; MURATA; BLM15HD102SN1D; 0,15; PLN; 100
TF_P_DMP4051LK3_TO252_A001; TME; DMP4051LK3-13; DIODES; DMP4051LK3; 1,2; PLN; 3
DZ_12V_MMSZ5242B_SOD-123_A001; TME; MMSZ5242B-DIO; DIODES; MMSZ5242B; 0,14; PLN; 25
DS_PMEG3020EGW_SOD-123_A001; FAR; 2760409; NXP; PMEG3020EGW; 1,9; PLN; 5
CON_PIN_HEA_2x7_THT_2_54_A001; FAR; 2215307; AMPHENOL; T821114A1S100CEU; 2,4; PLN; 10
CON_PIN_HEA_2x5_THT_2_54_A002; FAR; 2843527; MULTICOMP PRO; MC-254-10-00-ST-DIP; 0,99; PLN; 10
DSW_BAV99_100V_0A2_SOT23_A001; TME; BAV99-TP;  MICRO COMMERCIAL COMPONENTS; BAV99-TP; 0,15; PLN; 25
LP_4u7H_1A_DJNR4018_A002; TME; LQH44PN4R7MP0L; MURATA; LQH44PN4R7MP0L; 1,0; PLN; 5
LP_4u7H_1A_DJNR4018_A002; TME; DJNR4018-4R7-S; FERROCORE; DJNR4018-4R7-S; 0,7; PLN; 10
LED_0603_GREEN_A001; TME; LL-S192UGC-1B; LUCKYLIGHT; LL-S192UGC-1B; 0,3; PLN; 10
LED_0603_RED_A001; TME; KPH-1608ID; KING; KPH-1608ID; 0,37; PLN; 10
CON_THT_2p_15EDGRC-3.5-2P_A001; TME; 15EDGRC-3.5-02P-13; DEGSON; 15EDGRC-3.5-02P-13-00AH; 1,7; PLN; 2
CON_THT_4p_15EDGRC-3.5-4P_A001; TME; 15EDGRC-3.5/4P; DEGSON; 15EDGRC-3.5-04P-14; 2,1; PLN; 2
CON_THT_3p_15EDGRC-3.5-3P_A001; TME; 15EDGRC-3.5/3P; DEGSON; 15EDGRC-3.5-03P-14; 2,0; PLN; 2
DSW_1N4148_SOD523_A001; TME; 1N4148WT-DIO; DIODES; 1N4148WT; 0,15; PLN; 25
DSW_1N4148_SOD523_A001; TME; 1N4148WT-ONS; ONSEMI; 1N4148WT; 0,21; PLN; 25
FB_120R_5A_0805_A001; FAR; 2948808; FAIR-RITE; 2508051217Y6; 0,9; PLN; 1
TB_N_BC846B_SOT323_A001; TME; BC846BW-DIO; DIODES; BC846BW; 0,17; PLN; 20
TB_P_BC856B_SOT323_A001; TME; BC856BW-DIO; DIODES; BC856BW; 0,17; PLN; 20
IC_TS3021_SOT23-5_A001; TME; TS3021ILT; ST; TS3021ILT; 4,2; PLN; 1
DS_SK310_3A_100V_DO214AC_A001; TME; SK310A-LTP; MCC; SK310A-LTP; 2,1; PLN; 3
DS_SK310_3A_100V_DO214AC_A001; TME; SK510A-LTP; MCC; SK510A-LTP; 2,5; PLN; 3
DS_SK310_3A_100V_DO214AC_A001; TME; VSSA210-E3/61T; MCC; VSSA210-E3/61T; 3,3; PLN; 1
 CEA_47u_100V_THT_A003; TME; PF2D470MNN1220; Elite; PF2D470MNN1220; 1,0; PLN; 5
 CEA_47u_100V_THT_A003; TME; ECA2AHG470; Panasonic; ECA2AHG470; 1,5; PLN; 10
 CEA_47u_25V_THT_A002; TME; ED1E470MNN0511U; Elite; ED1E470MNN0511U; 0,3; PLN; 20
 CEA_47u_25V_THT_A002; TME; WL1E476M05011BB; Samwha; WL1E476M05011BB; 0,3; PLN; 20
IC_TSV7721_SOT23_A001; FAR; 3929090; ST; TSV7721ILT; 3,9; PLN; 1
R_0R001_1575_A001; ALI; nn; nn; nn; 4,0; PLN; 10
TF_N_PSMN018_TO220_A001; FAR; 2892879; NXP; PSMN018-100PSFQ; 2,7; PLN; 1
CFILM_4n7_100V_THT_A001; TME; MPEM-4U7R20/100; SR PASSIVEW; MPEM-4U7R20/100; 2,0; PLN; 10
CFILM_4n7_100V_THT_A001; TME; MPEM-4U7R27.5/250; SR PASSIVEW; MPEM-4U7R27.5/250; 2,2; PLN; 10
 R_4k7_1%_0603_A001; TME; CRGCQ0603F4K7; TECON; CRGCQ0603F4K7; 0,06; PLN; 100
IC_LF2190N_SO8_A001; MOUS; 747-LF2190NTR; LITTELFUSE; LF2190N; 8,6; PLN; 1
 CR_1u_50V_X7R_0805_A001; TME; CC0805KKX7R9BB105; YAGEO; CC0805KKX7R9BB105; 0,14; PLN; 100
DSW_VS-2ENH02-M3_A001; MOUS; 78-VS-2ENH02-M3/84A; VISHAY; VS-2ENH02-M3; 1,6; PLN; 1
 R_33k_1%_0402_A001; TME; CRGCQ0402F33K; TECON; CRGCQ0402F33K; 0,04; PLN; 100
RAD_A4291_100_P001; TME; RAD-A4291/100; STONECOLD; RAD-A4291/100; 26,0; PLN; 1
M_SCR_M4x16_IMB_A001; TME; B4X16/BN20; BOSSARD; 1021338; 0,3; PLN; 200
M_SCR_M4x18_IMB_A001; TME; K4X18-ISO10642-A2; KRAFTBERG; K4X18-ISO10642-A2; 0,21; PLN; 100
CPL_330u_16V_THT_A001; TME; ULR330/16; X-COM; ULR337M1CF08; 2,3; PLN; 5
 CEA_47u_100V_THT_A002; TME; GT47/100; SAMXON; GT47/100; 1,1; PLN; 5
M_SCR_M4x6_PHI_CU_A001; TME; KEYS9192-3; KEYSTONE; 9192-3; 1,2; PLN; 1
M_DIN_HOLD_A001; TME; DIN-UCH; BOPAL; 22035000; 15,4; PLN; 1
TF_P_IRFR5505_DPACK_A001; FAR; 2468041; INFINEON; IRFR5505PbF; 5,9; PLN; 1
 R_9k1_1%_0402_A001; TME;
 R_1k8_1%_0402_A001; TME; RC0402FR-071K8L; YAGEO; RC0402FR-071K8L; 0,066; 100
IC_HMSR 6-SMS_SMD_A001; FAR; 3796476; LEM; HMSR-6-SMS; 20,0; PLN; 1
TBA_2xN_BC847B_SOT363_A001; FAR; 2069526; NXP; BC846BS,115; 1,3; PLN; 5
CON_PIN_HEA_2x3_SMT_2_54_A002; TME; 95278-801A06LF/C; AMPHENOL; 95278-801A06LF; 2,8; PLN; 2
CON_PIN_HEA_2x5_SMT_2_54_A002; TME; 95278-801A10LF/C; AMPHENOL; 95278-801A10LF; 3,4; PLN; 1
CON_PIN_HEA_2x5_SMT_2_54_A002; TME; 1MX-15-91-0100; MOLEX; 15910100; 3,55; PLN; 3
R_4R7_5%_0603_A001; TME; SMD0603-4R7-1%; ROYAL_OHM; 0603SAF470KT5E; 0,08; PLN; 100
R_4R7_5%_0805_A001; TME; SMD0805-4R7-1%; ROYAL_OHM; 0805S8F470KT5E; 0,1; PLN; 100
CON_PIN_SOCK_2x3_SMT_2_54_A001; TME; ZL264-6DG; NINIGI; ZL264-6DG; 6,1; PLN; 10
CON_PIN_SOCK_2x5_SMT_2_54_A001; TME; ZL264-10DG; NINIGI; ZL264-10DG; 8,2; PLN; 2
 CR_2u2_100V_1210_A001; TME; CL32B225KCJSNNE; SAMSUNG; CL32B225KCJSNNE; 1,4; PLN; 10
 CR_2u2_100V_1210_A001; TME; MC10KTB101225; VIKING; MC10KTB101225; 1,2; PLN; 10
RAD_A52317_100_P001; TME; RAD-A52317/100; STONECOLD; RAD-A52317/100; 24,0; PLN; 1
TF_N_BSR802N_3A7_20V_A001; FAR; 2212883; INFINEON; BSR802N; 3,4; PLN; 5
 CR_12p_50V_C0G_0402_A001; TME; CC0402JRNPO9BN120; YAGEO; CC0402JRNPO9BN120; 0,06; PLN; 100
R_100R_1%_0402_A001; TME; CRG0402J100R/10; TECON; 1622826-3; 0,03; PLN; 100
DZ_14V_MMSZ4701_SOD-123_A001; TME; MMSZ4701T1G; ONSEMI; MMSZ4701T1G; 0,17; PLN; 50
IC_XL7015_TO252-5_A001; ALI; XL7015_TO252-5; nn; XL7015; 2,0; PLN; 5
LP_100uH_2A5_HPI1260_A001; TME; HPI1260-101; FERROCORE; HPI1260-101; 5,0; PLN; 2
R_3k3_1%_0402_A001; TME; AC0402FR-073K3L; YAGEO; AC0402FR-073K3L; 0,05; PLN; 100
FUS_ASTD_HOLD_A001; TME; KEYS3522; KEYSTONE; 3522; 0,72; PLN; 10
OCT_EL817_SMD_A001; TME; EL817S1-A-TU; EVERLIGHT; EL817S1(A)(TU); 0,8; PLN; 5
IC_DSPIC33CK256MP506_TQFP64_A001; FAR; 2915389; MICROCHIP; DSPIC33CK256MP506-I/PT; 24,60; PLN; 1
 CR_10n_10V_X7R_0201_A001; TME; CL03B103KP3NNNC; SAMSUNG; CL03B103KP3NNNC; 0,031; PLN; 200
 CR_100n_6V3_X5R_0201_A001; TME; CL03A104KQ3NNNC; SAMSUNG; CL03A104KQ3NNNC; 0,043; PLN; 100
		CR_100n_10V_X5R_0201_A001; TME; GRM033R61A104KE15D; MURATA; GRM033R61A104KE15D; 0,027; PLN; 100
		CR_100n_10V_X5R_0201_A001; TME; CL03A104KP3NNNC; SAMSUNG; CL03A104KP3NNNC; 0,04; PLN; 100
IC_LMV324_SO14_A001; FAR; 2463665; ONSEMI; LMV324; 2,60; PLN; 5
IC_LMV324_SO14_A001; MOUS; 863-LMV324DR2G; ONSEI; LMV324DR2G; 2,60; PLN; 10
IC_LMV324_TSSOP14_A001; FAR; 2630459; ONSEMI; LMV324; 2,60; PLN; 5
IC_LMV324_TSSOP14_A001; MOUS; 621-LMV324BG-13; DIODES; LMV324BG-13; 2,70; PLN; 10
R_33k_0.1%_0603_A001; TME; AR0603-33K-0.1%; VIKING; AR03BTCX3302; 0,25; PLN; 100
R_1k_0.1%_0603_A001; TME; AR0603-1K-0.1%; VIKING; AR03BTCX1001; 0,25; PLN; 100
TRCS_TAK12-02_A001; ALLEGRO; TAK12-02; YHDC; TAK12-02; 5,5; PLN; 1
R_20R_1%_0805_A001; TME; SMD0805-20R-1%; ROYAL_OHM; 0805S8F200JT5E; 0,075; PLN; 100
DSW_BAS70-04_SOT23_A002; TME; BAS70-04-DIO; DIODES; BAS70-4; 0,13; PLN; 15
IC_INN3164C_SMD_A001; FAR; 3126219; POWER_INTEGRATION; INN3164C; 3,0; PLN; 10
TB_P_BC807-40_SOT23_A001; TME; BC807-40-TP; DIODES; BC807-40-TP; 0,17; PLN; 25
TB_N_BC817-40_SOT23_A001; TME; BC817-40-TP; DIODES; BC817-40-TP; 0,16; PLN; 25
IC_ST3485_SO-8_A001; FAR; 1842628; ST; ST3485ECDR; 18,3; PLN; 1
IC_AP62300WU_SOT26_A001; FAR; 3518304; DIODES; AP62300WU-7; 2,0; PLN; 5
LP_3u3H_4A5_HPI0530_A001; TME; HPI0530-3R3; FERROCORE; HPI0530-3R3; 2,1; PLN; 2
 CR_10u_16V_0805_A001; TME; CL21A106KOQNNNE; SAMSUNG; CL21A106KOQNNNE; 0,12; PLN; 100
R_30k_1%_0402_A001; TME; CRCW040230K0FKTDBC; VISHAY; CRCW040230K0FKTDBC; 0,06; PLN; 100
R_1k2_1%_0402_A001; TME; SMD0402-1K2-1%; ROYAL_OHM; 0402WGF1201TCE; 0,05; PLN; 100
R_1k5_1%_0402_A001; TME; CRCW04021K50FKTDBC; VISHAY; CRCW04021K50FKTDBC; 0,04; PLN; 100
R_51k_1%_0402_A001; TME; AC0402FR-0751KL; YAGEO; AC0402FR-0751KL; 0,05; PLN; 100
R_330R_1%_0603_A001; TME; WR06X3300FTL; WALSIN; WR06X3300FTL; 0,006; PLN; 100
R_150R_1%_0603_A001; TME; SMD0603-150R-1%; ROYAL_OHM; 0603SAF1500T5E; 0,06; PLN; 100
IC_NCP160BFCS330_A001; FAR; 2845135; ONSEMI; NCP160BFCS330T2G; 0,97; PLN; 5
L_33uH_200mA_0805_A001; TME; NL05JTC330; VIKING; NL05JTC330; 0,6; PLN; 10
 CR_1u_16V_X7R_0603_A001; TME; CL10B105KA8NNNC; SAMSUNG; CL10B105KA8NNNC; 0,067; PLN; 100
REL_G6QE_12V_A001; FAR; 2944315; OMRON; G6QE-1A DC12; 31,2; PLN; 1
REL_AZ2100-1A_12V_A001; TME; AZ2100-1A-12DE; ZETTLER; AZ2100-1A-12DE; 6,0 PLN; 1
DBR_B04MF_SMD_A001; TME; B04MF-DC; DIODES; B04MF; 0,25; PLN; 15
DBR_B04MF_SMD_A001; TME; MB10S-DC; DIODES; MB10S; 0,25; PLN; 15
LCM_20mH_0A4_THT_A001; TME; SSRH7HS-M05324; KEMET; SSRH7HS-M05324; 4,7; PLN; 10
 CEA_22uF_400V_12_25_B001; TME; EEUED2G150; PANASONIC; EEUED2G150; 4,3; PLN; 5
 CEA_22uF_400V_12_25_B001; TME; EEUED2G220; PANASONIC; EEUED2G220; 5,6; PLN; 5
 CEA_22uF_400V_12_25_B001; TME; EEUEE2G220; PANASONIC; EEUEE2G220; 4,7; PLN; 5
FUSE_1A25_TR5_THT_A001; TME; 0034.6616; SCHURTER; 0034.6616; 1,9; PLN; 2
FUSE_1A25_TR5_THT_A001; TME; 0034.6916; SCHURTER; 0034.6916; 2,1; PLN; 2
FUSE_1A25_TR5_THT_A001; TME; 887.118; ESKA; 887.118; 1,9; PLN; 2
IC_STM32G030F6_TSSOP20_A001; FAR; 3933089; ST; STM32G030F6; 6,4; PLN; 1
CFILM_X1_10n_600V_THT_B001; TME; R474I210050A1K; KEMET; R474I210050A1K; 1,06; PLN; 5
CFILM_X1_10n_600V_THT_B001; TME; R474I210050A1KV057; KEMET; R474I210050A1KV057; 0,8; PLN; 5
DTSVA_USBLC6_SOT-26_A001; TME; ESDA5V3SC5; ST; ESDA5V3SC5; 0,83; PLN; 5
IC_DSPIC33CH128MP508_A001; FAR; 2900706; MICROCHIP; DSPIC33CH128MP508-I/PT; 24; PLN; 1
IC_XMC1402-T038X0032_TSSOP38_A001; MOUS; 726-XMC1402T038X0032; INFINEON; XMC1402-T038X0032; 17; PLN; 5
IC_SN75LBC173D_SO16_A001; FAR; 3006894; TI; SN75LBC173D; 19,2; PLN; 1 
IC_MAX3096_SO16_A001; FAR; 2512008; MAXIM; MAX3096CSE+T; 21; PLN; 1 
DTSV_VCAN16A2-03S_STO23_A001; MOUS; 78-VCAN16A203S-E3-08; VISHAY; VCAN16A203S-E3; 2,2; PLN; 1
 CR_2n2_500V_1206_A001; TME; CC1206KKX7RBBB222; YAGEO; CC1206KKX7RBBB222; 0,14; PLN; 100
NTC_10k_THT_A001; TME; NTCALUG02A103GA; VISHAY; NTCALUG02A103GA; 6,3; PLN; 1
R_240k_1%_0805_A001; TME; SMD0805-240K-1%; ROYAL_OHM; 0805S8F2403T5E; 0,08; PLN; 100
R_240k_1%_0805_A001; TME; RC0805FR-07240KL; YAGEO; RC0805FR-07240KL; 0,2; PLN; 100
R_57k6_0.1%_0805_A001; TME; ERA6AEB5762V; PANASONIC; ERA6AEB5762V; 0,4; PLN; 10
IC_40106_SO-14_A001; TME; HCF40106YM013TR; ST; HCF40106YM013TR; 1,4; PLN; 5
IC_40106_SO-14_A001; TME; HEF40106BT.653; NXP; HEF40106BT.653; 1,7; PLN; 5
MOD_ESP32_C3_MINI_1_A001; MOUS; 356-ESP32-C3-MINI1N4; ESPRESSIF; ESP32-C3-MINI-1-N4; 9,1; PLN; 1
IC_74AVCH2T45GN_SOT1116_A001; FAR; 3441774; NXP; 74AVCH2T45GN; 0,95; PLN; 1
IC_NCP115ASN280T2G_SOT32-5_A001; TME; NCP115ASN280T2G; ONSEMI; NCP115ASN280T2G; 0,4; PLN; 10
CR_4p7_50V_X7R_0402_A001; TME; 0402N4R7C500CT; WALSIN; 0402N4R7C500CT; 0,06; PLN; 100
CON_ZIF_50_05_TOP_A001; BUY_DISPLAY; ;EastRising; ER-CON50HT-1; 0,02; USD; 10
CON_ZIF_40_05_TOP_A001; BUY_DISPLAY; ;EastRising; ER-CON40HT-1; 0,011; USD; 10
MOD_PN532_THT_A001; ALI; nn; nn; nn
IC_WS2812B_2020_A001; TME; WS2812B-2020; WORLDSEMI; WS2812B-2020; 1,05; PLN; 10
MECH_CT_SP_FW_UU_04_14_10_A001; ALI; nn
MECH_CT_SP_FW_ZX_04x8x8_A001; ALI; nn
CON_WF03S_JS_THT_A001; MARITEX; WF03S-JS; CHAYO-SHIUNN; JS-6001-03; 0,2; PLN; 10
CON_WF05S_JS_THT_A001; MARITEX; WF05S-JS; CHAYO-SHIUNN; JS-6001-05; 0,25; PLN; 10
CEA_47u_450V_THT_A002; TME; GRC00JG4702W00L; VISHAY; GRC00JG4702W00L; 3,0; PLN; 10
CEA_47u_450V_THT_A002; MOUS; 661-EKXJ451ELL470ML2; UCH; EKXJ451ELL470ML25S; 10,15; PLN; 10
LP_4m7H_0A16_THT_A002; TME; COIL0608-4.7; FERROCORE; COIL0608-4.7; 0,7; PLN; 10
D_1kV_1A_S1M_SMD_A001; TME; S1M-DIO; DIODEC; S1M; 0,14; PLN; 25
IC_AP3781S_SO8_SMD_A001; MOUS; 621-AP3781S-13; DIODES; AP3781S-13; PLN; 2,2; 10
TF_N_1A_700V_TO252_N001; TME; WMO08N80M3-CYG; WAYON; WMO08N80M3; 2,1; PLN; 5
TF_N_1A_700V_TO252_N001; MOUS; 726-IPD70R1K4P7AUMA1; INFINEON; IPD70R1K4P7SAUMA1; 3,5; PLN; 10
TF_N_1A_700V_SOT223_N002; MOUS; 726-IPN70R2K0P7SATM1; INFINEON; IPN70R2K0P7SATMA1; 3,0; PLN; 10
IC_LNK6773V_eDIP_A001; FAR; 2475377; POWER_INTEGRATION; LNK6773V; 3,5; PLN; 10
IC_LNK6773V_eDIP_A001; MOUS; 869-LNK6773V; POWER_INTEGRATION; LNK6773V; 4,3; PLN; 1
IC_LNK6773K_eSOP_A001; FAR; 3582583; POWER_INTEGRATION; LNK6773K; 2,9; PLN; 1000
IC_LNK6773K_eSOP_A001; MOUS; 869-LNK6773K-TL; POWER_INTEGRATION; LNK6773K; 6,49; PLN; 10
IC_LNK6773E_eSOP_A001; MOUS; 869-LNK6773E; POWER_INTEGRATION; LNK6773E; 3,7; PLN; 1000
TR_EF25_LNK6xx4_12V_1A_P001; AET; custom; NN; nn; 0,0; PLN; 1
DSW_UF1M+_1kV_1A_DO214AC_A001; FAR; 2748194; MULTICOMP; UF1M+; 0,65; PLN; 5
DSW_VS-2EQH02HM3_200V_2A_SMD_A001; FAR; 3818881; VISHAY; VS-2EQH02HM3; 0,9; PLN; 10
DSW_1N4148_SOD323_A003; MOUS; 241-1N4148WSR100001; PANJIT; 1N4148WS; 0,68; PLN; 1
DTSV_SMBJ130A_130V_DO214AA_A001; FAR; 2981345; VISHAY; SMBJ130A; 1,2; PLN; 10
R_27R_5%_1206_A001; TME; SMD1206-27R; ROYAL_OHM; 1206S4J0270T5E; 0,069; PLN; 100
R_22k_5%_1206_A001; TME; CRCW120622K0FKTABC; VISHAY; CRCW120622K0FKTABC; 0,078; PLN; 100
				CR_820p_1kV_THT_64MM_A001; FAR; 3289433; VISHAY; S821K29X7RN63L6R; 1,4; PLN; 1
				CR_820p_1kV_THT_64MM_A001; MOUS; 594-S821K29X7RN63L6R; VISHAY; S821K29X7RN63L6R; 1,68; PLN; 10
CR_820p_1kV_X7R_0805_A001; MOUS; 80-C0805C821MDR; KEMET; C0805C821MDRACTU; 1,25; PLN; 10
CR_820p_1kV_X7R_0805_A001; MOUS; 80-C0805C821KDRACTU; KEMET; C0805C821KDRACTU; 1,49; PLN; 10
CR_820p_1kV_X7R_0805_A001; FAR; 2773476; KEMET; C0805C821JDGACAUTO; 1,45; PLN; 5
CR_820p_1kV_X7R_0805_A001; FAR; 2821111; KEMET; C0805C821KDRACTU; 1,02; PLN; 5
CRY_470p_400V_Y1_THT_A001; MOUS; 80-C901U471KZYDCWL45; KEMET; C901U471KZYDCAWL45; 0,9; PLN; 10
CRY_470p_400V_Y1_THT_A001; MOUS; 80-C901U471KZYDAWL20; KEMET; C901U471KZYDAAWL20; 1,0; PLN; 10
CRY_470p_400V_Y1_THT_A001; MOUS; 80-C907U471KZYDAWL20; KEMET; C907U471KZYDAAWL20; 1,0; PLN; 10
CRY_470p_400V_Y1_THT_A001; MOUS; 80-C907U471KZYDBAP; KEMET; C907U471KZYDBA7317; 1,0; PLN; 10
R_100k_1%_0603_A001; TME; RC0603FR-07100K; YAGEO; RC0603FR-07100KL; 0,05; PLN; 100
R_124k_1%_0603_A001; FAR; 2694711; MULTICOMP; MCWR06X1243FTL; 0,03; PLN; 10
R_8k45_1%_0402_A001; FAR; 2694664; MULTICOMP; MCWR04X8451FTL; 0,03; PLN; 10
R_38k3_1%_0402_A001; FAR; 2694607; MULTICOMP; MCWR04X3832FTL; 0,03; PLN; 10
R_3k3_1%_0603_A001; TME; CRCW06033K30FKTABC; VISHAY; CRCW06033K30FKTABC; 0,06; PLN; 100
R_2R_5%_0603_A001; TME; SMD0603-2R; ROYAL_OHM; 0603SAJ020JT5E; 0,06; PLN; 100
CR_10p_50V_0402_C0G_A001; TME; 0402N100J500CT; WALSIN; 0402N100J500CT; 0,04; PLN; 100
CR_470n_16V_0603_X7R_A001; TME; CL10B474KO8NNNC; SAMSUNG; CL10B474KO8NNNC; 0,08; PLN; 100
CEA_10u_50V_THT_A001; TME; CE-10/50PHT-TAS; AISHI; EWH1HM100D11X25T; 0,2; PLN; 25
CEA_10u_50V_THT_A001; TME; CE-10/50PHT-Y; AISHI; EWH1HM100D11OT; 0,25; PLN; 20
CEA_10u_50V_THT_A001; TME; ED1H100MNN0511U; ELITE; ED1H100MNN0511U; 0,25; PLN; 20
